business_name,domain,website,city,state,status,contact_email,peptides_confirmed,source
Advanced Aesthetics Med Spa,advancedaestheticslv.com,https://advancedaestheticslv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Las Vegas Body Sculpting,lvbodysculpting.com,https://www.lvbodysculpting.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Flawless MedSpa,flawlessmedspas.com,https://www.flawlessmedspas.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
LURE Boutique Medical Spa,luremedicalspa.com,https://www.luremedicalspa.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Elyzium Med Spa,elyziummedspa.com,https://elyziummedspa.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
NovuSkin Med Spa,novuskin.com,https://www.novuskin.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Sinfully Beautiful,sinfully-beautiful.com,https://sinfully-beautiful.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Medi-Slim Weight Loss & Spa,medisliminc.com,https://www.medisliminc.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Modern Wellness Clinic,modernwellnessclinic.com,https://www.modernwellnessclinic.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Beverly Hills Rejuvenation Center,bhrcenter.com,https://www.bhrcenter.com/,Las Vegas,NV,already_in_queue,,,claude_web_search_2026-09-18
American Medical Wellness,americanmedicalwellness.com,https://www.americanmedicalwellness.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Vitality Medical & Wellness Center,vitalitymedicalwellness.com,https://www.vitalitymedicalwellness.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Vital Infusions & Performance,vitalinfusionsandperformance.com,https://vitalinfusionsandperformance.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Infuze Aesthetics & Wellness,infuzelv.com,https://www.infuzelv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
IV Vitamin Therapy Clinic,myvitamintherapy.com,https://www.myvitamintherapy.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Sculpt Spa,sculptspalv.com,https://sculptspalv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Genesis Lifestyle Medicine,genesislifestylemedicine.com,https://www.genesislifestylemedicine.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Body Balance Medical,bodybalancemedical.com,https://bodybalancemedical.com/,Las Vegas,NV,already_in_queue,,,claude_web_search_2026-09-18
Bright You Med Lounge,brightyoulv.com,https://www.brightyoulv.com/,Las Vegas,NV,already_in_queue,,,claude_web_search_2026-09-18
Medspa-LV,medspa-lv.com,https://medspa-lv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
TrimBody M.D.,trimbodymd.com,https://www.trimbodymd.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Elite Medical Associates,elitemedlv.com,https://elitemedlv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Sky Health Wellness Clinic,skyhealthnv.com,https://www.skyhealthnv.com/,Las Vegas,NV,do_not_contact,,,claude_web_search_2026-09-18
Renaissance Health Centre,iwholehealth.com,https://www.iwholehealth.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Revolution Wellness,revolution-wellness.org,https://revolution-wellness.org/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
LiveNow Longevity,livenowlongevity.com,https://www.livenowlongevity.com/,Las Vegas,NV,do_not_contact,,,claude_web_search_2026-09-18
HEALOR,healor.com,https://healor.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Rove Wellness & Medspa,rovemedspa.com,https://rovemedspa.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
The Look Med Spa,thelookmedspalv.com,https://www.thelookmedspalv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Unicorn Medical Weight Loss and Medi Spa,unicornmedispa.com,https://unicornmedispa.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Revenge MD,revengemd.com,https://www.revengemd.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Dr. Rashin Med Spa,botoxinjectionslasvegas.com,https://botoxinjectionslasvegas.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Skin Bar,skinbaronline.com,https://skinbaronline.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Sculpted MD,sculptedmd.com,https://www.sculptedmd.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
BP Royal Medspa,bproyalmedspa.com,https://www.bproyalmedspa.com/,Las Vegas,NV,already_in_queue,,,claude_web_search_2026-09-18
