domain,business_name,url,city,state,query,found_at
1aesthetic.com,1Aesthetic,https://1aesthetic.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
absolutehormone.com,Absolute Hormone Health Clinic,https://absolutehormone.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
advancedaestheticslv.com,Advanced Aesthetics Med Spa,https://advancedaestheticslv.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
advancedaestheticsusa.com,Advanced Aesthetics USA,https://advancedaestheticsusa.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
advancedtrtclinic.com,Advanced TRT Clinic,https://advancedtrtclinic.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
aestheticsmedspa.com,Aesthetics MedSpa,https://aestheticsmedspa.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
agelessmenshealth.com,Ageless Men's Health,https://www.agelessmenshealth.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
agelesswomenshealth.com,Ageless Women's Health,https://www.agelesswomenshealth.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
agewellmdnj.com,Age Well MD,https://agewellmdnj.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
alphagenicshealth.com,AlphaGenics,https://alphagenicshealth.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
alpinewellnessnv.com,Alpine Wellness,https://alpinewellnessnv.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
amedspa.com,Aesthetica Med Spa,https://amedspa.com/wellness-austin/peptide-therapy/,Austin,TX,claude_web_search,2026-09-17T21:40:14Z
americanmedicalwellness.com,American Medical Wellness,https://www.americanmedicalwellness.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
antiagingmedicine.com,The Nevada Center for Alternative & Anti-Aging Medicine,https://antiagingmedicine.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
aroramdspa.com,Arora MD Spa,https://aroramdspa.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
ascensionhealthnv.com,Ascension Health,https://ascensionhealthnv.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
atlashealthinstitute.com,Atlas Health Institute,https://www.atlashealthinstitute.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
austinmedspa.com,Austin Med Spa,https://www.austinmedspa.com/peptideinfusiontherapy,Austin,TX,claude_web_search,2026-09-17T21:40:14Z
austinpsi.com,APSI,https://www.austinpsi.com/medspa/weight-loss/peptide-therapy/,Austin,TX,claude_web_search,2026-09-17T21:40:14Z
avanceplasticsurgery.com,Avance Plastic Surgery Institute,https://www.avanceplasticsurgery.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
barebeautyva.com,Bare Beauty VA,https://barebeautyva.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
beauxmedspa.com,BEAUX MedSpa,https://beauxmedspa.com/medspa-services/wellness-treatments/peptide-therapy/,Austin,TX,claude_web_search,2026-09-17T21:40:14Z
bocamedspalv.com,Boca Med Spa,https://bocamedspalv.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
boostnevada.com,Boost Integrated Medical Center,https://www.boostnevada.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
botoxinjectionslasvegas.com,Dr. Rashin Med Spa,https://botoxinjectionslasvegas.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
chiclavie.com,Chic la Vie Med Spa,https://chiclavie.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
cosmeticmedicinecenter.com,Cosmetic Medicine Center,https://www.cosmeticmedicinecenter.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
ctmedweightloss.com,CT Medical Weight Loss & Beyond,https://ctmedweightloss.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
degreewellness.com,Degree Wellness,https://degreewellness.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
dermlounge.com,Dermlounge,https://dermlounge.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
doctorbeam.com,Glastonbury MedSpa (Dr. Beam),https://doctorbeam.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
donovitz.com,Institute for Hormonal Balance,https://donovitz.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
downtownmedspa.com,Downtown Medspa,https://downtownmedspa.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
drkbeautylv.com,Dr. K Beauty LV,https://drkbeautylv.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
drneilzemmel.com,Neil Zemmel MD,https://drneilzemmel.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
drsobo.com,Dr. Sobo Holistic Medicine,https://drsobo.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
durmnv.com,DURM Aesthetics & Wellness,https://www.durmnv.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
elevatewellnesslv.com,Elevate Wellness,https://www.elevatewellnesslv.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
eleverahealth.com,Elevera Health,https://eleverahealth.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
elitehealthelko.com,Elite Health & Wellness Elko,https://www.elitehealthelko.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
elitemedlv.com,Elite Medical Associates,https://elitemedlv.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
elkoreplenishmedspa.com,Elko Replenish Med Spa,https://elkoreplenishmedspa.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
elyziummedspa.com,Elyzium Med Spa,https://elyziummedspa.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
encompasscarelv.com,Encompass Care,https://encompasscarelv.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
enhanced-aw.com,Enhanced Aesthetics & Wellness,https://www.enhanced-aw.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
enlivenwellnessmedspa.com,Enliven Medical Spa and Wellness Center,https://enlivenwellnessmedspa.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
esteticawellness.com,Estetica Wellness,https://www.esteticawellness.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
evoluespa.com,évolué Med Spa,https://evoluespa.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
flawlessmedspas.com,Flawless MedSpa,https://www.flawlessmedspas.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
fountainofyoumd.com,Fountain of You MD,https://fountainofyoumd.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
genesislifestylemedicine.com,Genesis Lifestyle Medicine,https://www.genesislifestylemedicine.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
gracemedspaaustin.com,Grace MedSpa,https://www.gracemedspaaustin.com/peptide-therapy,Austin,TX,claude_web_search,2026-09-17T21:40:14Z
greenwich-md.com,Greenwich MD,https://greenwich-md.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
halcyonoptimized.com,Halcyon Health,https://www.halcyonoptimized.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
harmoniemedspa.com,Harmonie Aesthetics,https://harmoniemedspa.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
healor.com,HEALOR,https://healor.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
hendersoninternalmedicine.com,Henderson Internal Medicine Med Spa,https://hendersoninternalmedicine.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
hendersonmedspa.com,Henderson Med Spa,https://www.hendersonmedspa.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
hormoneweightlossdoctorsnj.com,Hormone and Weight Loss Doctors NJ,https://hormoneweightlossdoctorsnj.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
infinitevitalitynv.com,Infinite Vitality Wellness,https://www.infinitevitalitynv.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
infuzelv.com,Infuze Aesthetics & Wellness,https://www.infuzelv.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
integratedhealthall.com,Integrated Health Alliance,https://integratedhealthall.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
iorioplasticsurgery.com,Iorio Plastic Surgery & Medspa,https://iorioplasticsurgery.com/,,,claude_web_search_multi,2026-09-18T21:54:19Z
iuventusmedcenter.com,IUVENTUS Medical Center,https://iuventusmedcenter.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
iwholehealth.com,Renaissance Health Centre,https://www.iwholehealth.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
jjrothmd.com,Las Vegas Plastic Surgery,https://www.jjrothmd.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
lasvegashealthandbeautyspa.com,WoW Health & Beauty Medical Spa,https://lasvegashealthandbeautyspa.com/,Las Vegas,NV,claude_web_search_las_vegas,2026-09-18T18:04:18Z
